Course Code,Course Name,Description,Prerequisites
AEIS 101.,  Introductory Academic Oral Communication.  4 Credits.,"Focuses on strategies to improve aural-oral academic communication through discussions, seminars, dialogue, videos, and lectures. Sequence withAEIS 102.Requisites:Pre- or coreq: placement test.",None
AEIS 102.,  Advanced Academic Oral Communication.  4 Credits.,"Focuses on strategies to improve aural-oral academic communication through discussions, seminars, dialogue, and presentations. Sequence withAEIS 101.",None
AEIS 107.,  Reading Academic Discourse.  4 Credits.,"Focuses on interactive reading of academic text, building reading strategies for better comprehension, speed, and confidence, and developing critical reading skills.Requisites:Prereq: placement test.",None
AEIS 108.,  Advanced Reading Academic Discourse.  4 Credits.,"Focuses on interactive reading of academic text, reading strategies for better comprehension, speed, and confidence, and further development of critical, interpretive and evaluative reading. Sequence withAEIS 107(optional).Requisites:Prereq: placement test orAEIS 107.",None
AEIS 110.,  Introductory Academic Writing.  4 Credits.,"Introduces conventions of expository essay writing. Emphasizes clear, effective written communication and development of editing skills. Covers grammar in context. Sequence withAEIS 111,AEIS 112.Requisites:Prereq: placement test.",None
AEIS 111.,  Intermediate Academic Writing.  4 Credits.,"Intermediate writing for nonnative speakers of English. Critical analysis of academic texts leading to summary, paraphrase, essay-examination responses, and expository essays. Sequence withAEIS 110,AEIS 112.",None
AEIS 112.,  Advanced Academic Writing.  4 Credits.,"Advanced writing for non-native speakers of English. Critical reading of academic texts for response in various academic modes: reporting research, critical analysis, and argumentation. Sequence withAEIS 110,AEIS 111.Requisites:Prereq: placement test orAEIS 110,AEIS 111.",None
AEIS 199.,  Special Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AEIS 610.,  Experimental Course: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
ACTG 199.,  Special Studies: [Topic].  1-5 Credits.,Repeatable when the topic changes.Repeatable 99 times when topic changes,None
ACTG 340.,  Accounting for Entrepreneurs.  4 Credits.,Sources and uses of cash in the context of start-up and small firms. Emphasis on cash generated by operations and used for operations and growth. Secondary emphasis on external sources of cash.Requisites:Prereq:BA 211ZorMGMT 335.,None
ACTG 350.,  Intermediate Accounting I.  4 Credits.,"Concepts and principles of financial accounting, including U.S. and international financial reporting standards; analysis of alternatives for income measurement and asset and liability valuation.Requisites:Prereq:BA 213ZorBA 215;BA 101Z;BA 240;EC 201;MATH 241orMATH 251;STAT 243ZorMATH 345MorDSCI 102;WR 122ZorWR 123.",None
ACTG 351.,  Intermediate Accounting II.  4 Credits.,"Concepts and principles of financial accounting, including U.S. and international financial reporting standards. Analysis of alternatives for income measurement and asset and liability valuation.Requisites:Prereq:ACTG 350.",None
