,Department,CourseNumber,Credits,Prerequisites
0,AEIS,101,4,
1,AEIS,102,4,
2,AEIS,107,4,
3,AEIS,108,4,['AEIS\xa0107']
4,AEIS,110,4,
5,AEIS,111,4,
6,AEIS,112,4,"['AEIS\xa0110', 'AEIS\xa0111']"
7,AEIS,199,1-5,
8,AEIS,610,1-5,
9,ACTG,199,1-5,
10,ACTG,340,4,"['BA\xa0211', 'MGMT\xa0335']"
11,ACTG,350,4,"['BA\xa0213', 'BA\xa0215', 'BA\xa0101', 'BA\xa0240', 'EC\xa0201', 'MATH\xa0241', 'MATH\xa0251', 'STAT\xa0243', 'MATH\xa0345', 'DSCI\xa0102', 'WR\xa0122', 'WR\xa0123']"
12,ACTG,351,4,['ACTG\xa0350']
13,ACTG,352,4,"['ACTG\xa0351', 'FIN\xa0316']"
14,ACTG,360,4,"['BA\xa0101', 'BA\xa0213', 'BA\xa0240', 'EC\xa0201', 'EC\xa0202', 'MATH\xa0241', 'STAT\xa0243', 'WR\xa0122', 'WR\xa0123']"
15,ACTG,401,1-21,
16,ACTG,403,1-12,
17,ACTG,405,1-12,
18,ACTG,406,1-12,
19,ACTG,407,4,
20,ACTG,408,1-21,
21,ACTG,409,1-12,
22,ACTG,410,1-4,"['BA\xa0101', 'BA\xa0213', 'BA\xa0240', 'EC\xa0201', 'EC\xa0202', 'STAT\xa0243', 'MATH\xa0241', 'MATH\xa0246', 'MATH\xa0251']"
23,ACTG,425,4,['BA\xa0213']
24,ACTG,440,4,['ACTG\xa0350']
25,ACTG,450,4,['ACTG\xa0352']
26,ACTG,460,4,
27,ACTG,470,4,"['BA\xa0101', 'BA\xa0213', 'BA\xa0240', 'EC\xa0201', 'EC\xa0202', 'MATH\xa0241', 'STAT\xa0243']"
28,ACTG,480,4,['ACTG\xa0350']
29,ACTG,503,1-16,
30,ACTG,510,1-4,
31,ACTG,525,4,
32,ACTG,540,4,
33,ACTG,550,4,
34,ACTG,560,4,
35,ACTG,570,4,
36,ACTG,580,4,
37,ACTG,601,1-16,
38,ACTG,603,1-16,
39,ACTG,605,1-16,
40,ACTG,606,1-16,
41,ACTG,607,1-5,
42,ACTG,608,1-16,
43,ACTG,609,1-12,
44,ACTG,610,1-5,
45,ACTG,612,3,['BA\xa0211']
46,ACTG,616,4,"['ACTG\xa0570', 'ACTG\xa0617']"
47,ACTG,617,4,
48,ACTG,618,4,['ACTG\xa0617']
49,ACTG,619,4,
50,ACTG,625,3,
51,ACTG,630,4,
52,ACTG,631,4,
53,ACTG,642,4,['ACTG\xa0540']
54,ACTG,662,4,
55,ACTG,681,4,['ACTG\xa0580']
56,ACTG,682,4,"['ACTG\xa0580', 'ACTG\xa0681']"
57,AFR,196,1-5,
58,AFR,198,1-5,
59,AFR,199,1-5,
60,AFR,215,4,
61,AFR,399,1-5,
62,AFR,401,1-12,
63,AFR,403,1-12,
64,AFR,404,1-12,
65,AFR,405,1-12,
66,AFR,406,1-12,
67,AFR,407,1-5,
68,AFR,408,1-12,
69,AFR,409,1-12,
70,AFR,410,1-5,
71,AFR,503,1-12,
72,AFR,507,1-5,
73,AFR,508,1-12,
74,AFR,510,1-5,
75,AFR,601,1-4,
76,AFR,603,1-9,
77,AFR,604,1-4,
78,AFR,605,1-16,
